Day,Month,Year,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
1,5,2007,Charter,Arrival,International,1
1,5,2007,Scheduled,Departure,International,4210
1,5,2007,Scheduled,Departure,Domestic,20539
1,5,2007,Scheduled,Arrival,Domestic,20489
1,5,2007,Charter,Departure,International,2
1,5,2007,Charter,Arrival,Domestic,12
1,5,2007,Charter,Departure,Domestic,13
1,5,2007,Scheduled,Arrival,International,4197
1,6,2007,Scheduled,Departure,International,4358
1,6,2007,Charter,Arrival,Domestic,12
1,6,2007,Charter,Arrival,International,1
1,6,2007,Charter,Departure,Domestic,9
1,6,2007,Scheduled,Arrival,Domestic,20501
1,6,2007,Scheduled,Arrival,International,4322
1,6,2007,Scheduled,Departure,Domestic,20569
1,7,2007,Charter,Departure,International,1
1,7,2007,Scheduled,Departure,International,4862
1,7,2007,Scheduled,Arrival,International,4822
1,7,2007,Charter,Arrival,International,1
1,7,2007,Charter,Departure,Domestic,18
1,7,2007,Charter,Arrival,Domestic,21
1,7,2007,Scheduled,Arrival,Domestic,22098
1,7,2007,Scheduled,Departure,Domestic,22217
1,8,2007,Scheduled,Departure,International,4819
1,8,2007,Charter,Departure,Domestic,8
1,8,2007,Scheduled,Departure,Domestic,22399
1,8,2007,Charter,Arrival,Domestic,7
1,8,2007,Scheduled,Arrival,International,4828
1,8,2007,Scheduled,Arrival,Domestic,22241
1,8,2007,Charter,Arrival,International,1
1,9,2007,Scheduled,Departure,International,4227
1,9,2007,Charter,Arrival,Domestic,24
1,9,2007,Scheduled,Arrival,Domestic,20746
1,9,2007,Scheduled,Departure,Domestic,20876
1,9,2007,Charter,Departure,Domestic,20
1,9,2007,Scheduled,Arrival,International,4236
1,9,2007,Charter,Arrival,International,3
1,10,2007,Charter,Arrival,International,1
1,10,2007,Scheduled,Arrival,Domestic,21676
1,10,2007,Charter,Departure,International,1
1,10,2007,Charter,Departure,Domestic,39
1,10,2007,Scheduled,Departure,International,4154
1,10,2007,Scheduled,Arrival,International,4164
1,10,2007,Charter,Arrival,Domestic,40
1,10,2007,Scheduled,Departure,Domestic,21767
1,11,2007,Charter,Arrival,International,3
1,11,2007,Scheduled,Departure,International,4081
